playerLabel,birthDate,countryLabel,height,sexLabel
Piet Kraak,1921-02-14T00:00:00Z,荷兰王国,,男
弗朗齐歇克·普拉尼奇卡,1904-06-02T00:00:00Z,捷克,179,男
弗朗齐歇克·普拉尼奇卡,1904-06-02T00:00:00Z,捷克斯洛伐克,179,男
利昂内尔·梅西,1987-06-24T00:00:00Z,西班牙,169,男
利昂内尔·梅西,1987-06-24T00:00:00Z,意大利,169,男
利昂内尔·梅西,1987-06-24T00:00:00Z,阿根廷,169,男
亚历山德罗·德尔·皮耶罗,1974-11-09T00:00:00Z,意大利,173,男
阿基利安·鲍伦,1902-10-12T00:00:00Z,荷兰王国,,男
齐内丁·齐达内,1972-06-23T00:00:00Z,法國,185,男
羅倫特·白蘭斯,1965-11-19T00:00:00Z,法國,192,男
科倫廷·馬丁斯,1969-07-11T00:00:00Z,葡萄牙,172,男
科倫廷·馬丁斯,1969-07-11T00:00:00Z,法國,172,男
薩布里·拉穆奇,1971-11-09T00:00:00Z,法國,175,男
薩布里·拉穆奇,1971-11-09T00:00:00Z,突尼西亞,175,男
於爾根·盧卡達,1993-11-07T00:00:00Z,荷兰王国,191,男
孟菲斯·德佩,1994-02-13T00:00:00Z,迦納,178,男
孟菲斯·德佩,1994-02-13T00:00:00Z,荷兰王国,178,男
雨果·洛里斯,1986-12-26T00:00:00Z,法國,188,男
马修·德比希,1985-07-28T00:00:00Z,法國,176,男
阿迪尔·拉米,1985-12-27T00:00:00Z,法國,190,男
阿迪尔·拉米,1985-12-27T00:00:00Z,摩洛哥,190,男
约翰·卡巴耶,1986-01-14T00:00:00Z,法國,174,男
奥利弗·吉鲁,1986-09-30T00:00:00Z,法國,193,男
卡里姆·本泽马,1987-12-19T00:00:00Z,法國,185,男
弗洛朗·马卢达,1980-06-13T00:00:00Z,法國,184,男
羅倫·哥斯尼,1985-09-10T00:00:00Z,法國,186,男
帕特里斯·埃夫拉,1981-05-15T00:00:00Z,法國,173,男
帕特里斯·埃夫拉,1981-05-15T00:00:00Z,塞内加尔,173,男
菲利普·梅克斯,1982-03-30T00:00:00Z,法國,187,男
弗兰克·里贝里,1983-04-07T00:00:00Z,法國,170,男
馬修·華貝拿,1984-09-28T00:00:00Z,法國,167,男
萨米尔·纳斯里,1987-06-26T00:00:00Z,法國,175,男
萨米尔·纳斯里,1987-06-26T00:00:00Z,阿爾及利亞,175,男
布莱兹·马图伊迪,1987-04-09T00:00:00Z,法國,180,男
布莱兹·马图伊迪,1987-04-09T00:00:00Z,安哥拉,180,男
安东尼·雷维耶,1979-11-10T00:00:00Z,法國,180,男
杰雷米·梅內,1987-05-07T00:00:00Z,法國,183,男
斯特弗·芒当达,1985-03-28T00:00:00Z,法國,185,男
斯特弗·芒当达,1985-03-28T00:00:00Z,刚果民主共和国,185,男
扬·姆维拉,1990-06-29T00:00:00Z,法國,182,男
扬·姆维拉,1990-06-29T00:00:00Z,剛果共和國,182,男
阿劳·迪亚拉,1981-07-15T00:00:00Z,法國,190,男
馬文·馬丁,1988-01-10T00:00:00Z,法國,171,男
哈特姆·本阿尔法,1987-03-07T00:00:00Z,法國,178,男
哈特姆·本阿尔法,1987-03-07T00:00:00Z,突尼西亞,178,男
盖尔·克利希,1985-07-26T00:00:00Z,法國,176,男
塞德里克·卡拉索,1981-12-30T00:00:00Z,法國,187,男
西德尼·戈武,1979-07-27T00:00:00Z,法國,175,男
埃里克·阿比达尔,1979-09-11T00:00:00Z,法國,186,男
贾布里勒·西塞,1981-08-12T00:00:00Z,法國,183,男
贾布里勒·西塞,1981-08-12T00:00:00Z,科特迪瓦,183,男
威廉·加拉斯,1977-08-17T00:00:00Z,法國,181,男
巴卡雷·萨尼亚,1983-02-14T00:00:00Z,法國,176,男
尼古拉·阿内尔卡,1979-03-14T00:00:00Z,法國,185,男
安德雷·皮埃爾·吉尼亞克,1985-12-05T00:00:00Z,法國,187,男
塞巴斯蒂安·斯奎拉奇,1980-08-11T00:00:00Z,法國,185,男
阿布·迪亚比,1986-05-11T00:00:00Z,法國,190,男
阿布·迪亚比,1986-05-11T00:00:00Z,科特迪瓦,190,男
热雷米·图拉朗,1983-09-10T00:00:00Z,法國,183,男
罗宾·范佩西,1983-08-06T00:00:00Z,荷兰王国,183,男
Tom Biss,1993-01-20T00:00:00Z,新西兰,,男
Emil Rilke,1983-11-19T00:00:00Z,捷克,176,男
丹尼斯·劳伦斯,1974-08-01T00:00:00Z,千里達及托巴哥,201,男
C.K. Vineeth,1988-05-20T00:00:00Z,印度,178,男
弗兰西斯泽克·斯姆达,1948-06-22T00:00:00Z,波蘭,182,男
T-killah,1989-04-30T00:00:00Z,俄罗斯,,男
拉甘比,1952-08-15T00:00:00Z,法國,171,男
Fleury Di Nallo,1943-04-20T00:00:00Z,法國,167,男
塞日·基耶薩,1950-12-25T00:00:00Z,法國,168,男
米歇尔·普拉蒂尼,1955-06-21T00:00:00Z,法國,179,男
弗朗茨·贝肯鲍尔,1945-09-11T00:00:00Z,德國,181,男
弗朗茨·贝肯鲍尔,1945-09-11T00:00:00Z,西德,181,男
约阿希姆·勒夫,1960-02-03T00:00:00Z,德國,182,男
肖恩·康纳利,1930-08-25T00:00:00Z,英国,1.89,男
劳尔·阿尔维奥尔,1985-09-04T00:00:00Z,西班牙,190,男
Andre de Kruijff,1895-04-09T00:00:00Z,荷兰王国,180,男
雅辛·本齊亞,1994-09-08T00:00:00Z,法國,179,男
雅辛·本齊亞,1994-09-08T00:00:00Z,阿爾及利亞,179,男
Júnior César Moreira da Cunha,1985-04-05T00:00:00Z,巴西,167,男
Yves Mariot,1948-07-05T00:00:00Z,法國,,男
Michele Pellizzer,1989-05-22T00:00:00Z,意大利,188,男
Jan de Kreek,1903-10-11T00:00:00Z,荷兰王国,,男
阿贝尔·沙维尔,1972-11-30T00:00:00Z,葡萄牙,189,男
阿贝尔·沙维尔,1972-11-30T00:00:00Z,莫桑比克,189,男
尤根·波兰斯基,1986-03-17T00:00:00Z,波蘭,183,男
尤根·波兰斯基,1986-03-17T00:00:00Z,德國,183,男
丹尼·罗辛,1980-05-18T00:00:00Z,德國,,男
丹尼·罗辛,1980-05-18T00:00:00Z,東德,,男
尼尔斯·玻尔,1885-10-07T00:00:00Z,丹麥王國,,男
吉安弗蘭科·佐拉,1966-07-05T00:00:00Z,意大利,168,男
格拉咸·泰萊,1944-09-15T00:00:00Z,英国,,男
姬莉·史密芙,1978-10-29T00:00:00Z,英国,168,女
佛朗西斯科·法拉洛,1910-02-05T00:00:00Z,阿根廷,170,男
大卫·贝克汉姆,1975-05-02T00:00:00Z,英国,183,男
瑞恩·吉格斯,1973-11-29T00:00:00Z,英国,180,男
路德·比利席特,1958-02-01T00:00:00Z,英国,180,男
路德·比利席特,1958-02-01T00:00:00Z,牙買加,180,男
Tommy Mooney,1971-08-11T00:00:00Z,英国,,男
Nigel Gibbs,1965-11-20T00:00:00Z,英国,,男
罗伯特·佩奇,1974-09-03T00:00:00Z,英国,,男
Oleksandr Horyainov,1975-06-29T00:00:00Z,烏克蘭,184,男
布拉克·耶尔马兹,1985-07-15T00:00:00Z,土耳其,188,男
埃莱·西索科,1987-09-15T00:00:00Z,法國,182,男
埃莱·西索科,1987-09-15T00:00:00Z,塞内加尔,182,男
阿德里安·拉比奥,1995-04-03T00:00:00Z,法國,191,男
奥勒·居纳尔·索尔斯克亚,1973-02-26T00:00:00Z,挪威,179,男
湯馬士·恩斯,1992-01-30T00:00:00Z,英国,178,男
丹尼·古爾沙,1980-08-17T00:00:00Z,西班牙,180,男
马默·比莱姆·迪乌夫,1987-12-16T00:00:00Z,塞内加尔,185,男
阿當·米拿,1982-02-19T00:00:00Z,英国,,男
Alan Julian,1983-03-11T00:00:00Z,英国,,男
卡爾·亨利,1982-11-26T00:00:00Z,英国,183,男
安德烈斯·瓜尔达多,1986-09-28T00:00:00Z,西班牙,172,男
安德烈斯·瓜尔达多,1986-09-28T00:00:00Z,墨西哥,172,男
維辛迪·古艾達,1987-01-10T00:00:00Z,西班牙,191,男
胡安·贝尔纳特,1993-03-01T00:00:00Z,西班牙,172,男
丹尼尔·帕雷霍,1989-04-16T00:00:00Z,西班牙,182,男
埃沃·巴内加,1988-06-29T00:00:00Z,阿根廷,174,男
塞尔希奥·卡纳莱斯,1991-02-16T00:00:00Z,日本,180,男
奥斯卡·多斯桑托斯·埃姆博阿巴·儒尼奥尔,1991-09-09T00:00:00Z,巴西,179,男
莫里斯·库克,1931-12-10T00:00:00Z,英国,,男
弗朗切斯科·托蒂,1976-09-27T00:00:00Z,意大利,180,男
阿兰·扎戈耶夫,1990-06-17T00:00:00Z,俄罗斯,179,男
Kurt Sommerlatt,1928-12-25T00:00:00Z,德國,,男
弗里茨·瓦尔特,1920-10-31T00:00:00Z,德國,175,男
Alan Foggon,1950-02-23T00:00:00Z,英国,,男
Francisco Frione,1912-07-21T00:00:00Z,烏拉圭,,男
Francisco Frione,1912-07-21T00:00:00Z,意大利王國,,男
Jānis Skredelis,1939-12-29T00:00:00Z,拉脫維亞,,男
Jānis Skredelis,1939-12-29T00:00:00Z,蘇聯,,男
加埃塔諾·莫納凱洛,1994-03-03T00:00:00Z,意大利,184,男
Natalia Zinchenko,1979-10-03T00:00:00Z,烏克蘭,1.76,女
Raúl Banfi,1914-11-14T00:00:00Z,烏拉圭,,男
安德魯·納伯特,1992-12-17T00:00:00Z,澳大利亚,,男
連斯頓,1968-11-06T00:00:00Z,荷兰王国,178,男
路易斯·理喬,1927-09-28T00:00:00Z,烏拉圭,,男
Ufuk Budak,1990-05-26T00:00:00Z,土耳其,1.8,男
Ufuk Budak,1990-05-26T00:00:00Z,德國,1.8,男
Ufuk Budak,1990-05-26T00:00:00Z,阿塞拜疆,1.8,男
奧斯卡·米格茲,1927-12-05T00:00:00Z,烏拉圭,176,男
Obi Metzger,1987-09-19T00:00:00Z,塞拉利昂,,男
Gunnar Þór Gunnarsson,1985-10-04T00:00:00Z,冰島,,男
Pavel Mochalin,1989-01-16T00:00:00Z,俄罗斯,185,男
Mohamed Youssouf,1988-03-26T00:00:00Z,法國,169,男
Rob Reekers,1966-05-07T00:00:00Z,荷兰王国,188,男
Ruslan Lyubarskyi,1973-09-29T00:00:00Z,烏克蘭,180,男
Mouritala Ogunbiyi,1982-10-10T00:00:00Z,貝南,174,男
Hans Mulder,1987-04-27T00:00:00Z,荷兰王国,180,男
比约恩·林德曼,1984-01-23T00:00:00Z,德國,,男
Omar Arellano Nuño,1967-05-29T00:00:00Z,墨西哥,179,男
Lavard Evans,1975-03-30T00:00:00Z,英国,,男
Volodymyr Shekhovtsov,1963-12-03T00:00:00Z,烏克蘭,,男
Volodymyr Shekhovtsov,1963-12-03T00:00:00Z,蘇聯,,男
亞歷漢德羅·珀蘇埃洛,1991-09-20T00:00:00Z,西班牙,170,男
伊莎贝尔·赫洛夫森,1988-06-23T00:00:00Z,挪威,169,女
克拉斯-扬·亨特拉尔,1983-08-12T00:00:00Z,荷兰王国,186,男
Heinz-Jürgen Blome,1946-12-14T00:00:00Z,德國,,男
史蒂文·卡尔科勒,1991-12-29T00:00:00Z,英国,191,男
羅曼·諾伊施泰特,1988-02-18T00:00:00Z,俄罗斯,190,男
羅曼·諾伊施泰特,1988-02-18T00:00:00Z,德國,190,男
羅曼·諾伊施泰特,1988-02-18T00:00:00Z,蘇聯,190,男
卡利文·拿域,1981-06-12T00:00:00Z,斯洛文尼亞,188,男
Eduard Kainberger,1911-11-20T00:00:00Z,奧地利,,男
阿米尔·卡里奇,1973-12-31T00:00:00Z,斯洛文尼亞,184,男
热利科·米利诺维奇,1969-10-12T00:00:00Z,斯洛文尼亞,189,男
加尔·比吉里马纳,1993-10-22T00:00:00Z,英国,173,男
加尔·比吉里马纳,1993-10-22T00:00:00Z,蒲隆地,173,男
雅各·阿斯帕斯,1987-08-01T00:00:00Z,西班牙,176,男
博班·巴本斯基,1968-05-05T00:00:00Z,北马其顿,185,男
皮蒂,1981-05-26T00:00:00Z,西班牙,174,男
路易斯·阿爾韋托·蘇亞雷斯,1987-01-24T00:00:00Z,烏拉圭,182,男
麥比耶利安,1994-12-19T00:00:00Z,法國,184,男
麥比耶利安,1994-12-19T00:00:00Z,塞内加尔,184,男
阿卜杜拉·艾维奇,1963-07-31T00:00:00Z,土耳其,179,男
亚历克斯·费尔南德斯,1992-10-15T00:00:00Z,西班牙,180,男
安東尼奧·孔蒂,1969-07-31T00:00:00Z,意大利,178,男
金柱成,1993-10-15T00:00:00Z,朝鮮民主主義人民共和國,179,男
Arnaldo Pereira,1979-06-16T00:00:00Z,葡萄牙,168,男
弗洛里安·托萬,1993-01-26T00:00:00Z,法國,179,男
Gilles Cioni,1984-06-14T00:00:00Z,法國,165,男
Gaël Angoula,1982-07-18T00:00:00Z,法國,177,男
Gaël Angoula,1982-07-18T00:00:00Z,喀麦隆,177,男
Maka Mary,1989-03-27T00:00:00Z,法國,182,男
Maka Mary,1989-03-27T00:00:00Z,马里,182,男
弗雷德里科·漢茲,1966-05-30T00:00:00Z,法國,178,男
Lucas Daniel Wilchez,1981-08-31T00:00:00Z,阿根廷,172,男
Lucas Daniel Wilchez,1983-08-31T00:00:00Z,阿根廷,172,男
費蒂·哈雷克,1982-10-21T00:00:00Z,阿爾及利亞,175,男
Yassin El-Azzouzi,1983-01-13T00:00:00Z,法國,180,男
Artyom Kondrashkin,1991-05-05T00:00:00Z,俄罗斯,,男
麥赫迪·莫斯提法,1983-08-30T00:00:00Z,法國,181,男
麥赫迪·莫斯提法,1983-08-30T00:00:00Z,阿爾及利亞,181,男
佛朗哥·祖库利尼,1990-09-05T00:00:00Z,意大利,176,男
佛朗哥·祖库利尼,1990-09-05T00:00:00Z,阿根廷,176,男
David Gigliotti,1985-05-30T00:00:00Z,法國,176,男
薩姆布·雅塔巴雷,1989-03-02T00:00:00Z,法國,190,男
薩姆布·雅塔巴雷,1989-03-02T00:00:00Z,马里,190,男
